date,fc,v,wt,co2,o2,cer,our,p
1,223.87,60453,65539,0.72098,0.82523,0.19529,0.50355,0.015465
2,67.162,60498,65592,0.72538,0.72351,0.19633,0.50663,0.032763
3,445.62,60540,65641,0.72963,0.72841,0.19627,0.5096,0.049979
4,281.61,60561,65671,0.73387,0.76764,0.19585,0.51257,0.067269
5,182.83,60572,65690,0.7381,0.80397,0.19547,0.51553,0.08488
6,54.848,60578,65703,0.74232,0.81174,0.19538,0.51849,0.10275
7,264.23,60581,65715,0.74652,0.80575,0.19544,0.52142,0.12142
8,201.07,60582,65723,0.75072,0.81502,0.19533,0.52436,0.14038
9,154.07,60583,65732,0.75487,0.79985,0.19548,0.52727,0.16038
10,123.79,60588,65746,0.75902,0.80387,0.19543,0.53017,0.18051
11,37.137,60599,65764,0.76317,0.79236,0.19554,0.53308,0.20077
12,204.9,60613,65786,0.76729,0.7945,0.19551,0.53596,0.22149
13,172.27,60628,65809,0.77139,0.78745,0.19558,0.53883,0.24241
14,145.54,60641,65831,0.77547,0.80059,0.19543,0.54168,0.26351
15,126.05,60652,65850,0.7795,0.78604,0.19557,0.54451,0.28543
16,112.77,60658,65863,0.78349,0.77833,0.19565,0.5473,0.30762
17,104.1,60661,65874,0.78752,0.79209,0.1955,0.55012,0.3298
18,100.85,60663,65884,0.79157,0.79781,0.19543,0.55296,0.35212
19,99.477,60668,65897,0.79565,0.78485,0.19555,0.55581,0.37468
20,98.028,60677,65914,0.79972,0.7771,0.19563,0.55866,0.39754
21,96.435,60690,65935,0.80412,0.82459,0.19513,0.56175,0.41529
22,100.13,60704,65958,0.80874,0.83956,0.19497,0.56498,0.43233
23,104.41,60717,65980,0.81341,0.8436,0.19491,0.56825,0.44924
24,109.25,60729,66000,0.81806,0.84073,0.19493,0.57151,0.46686
25,111.5,60738,66017,0.82268,0.84503,0.19488,0.57474,0.48508
26,112.34,60744,66032,0.82724,0.84611,0.19486,0.57793,0.50446
27,111.49,60749,66046,0.83174,0.86957,0.19461,0.58109,0.52479
28,112,60756,66060,0.83619,0.86707,0.19463,0.5842,0.54615
29,109.03,60764,66078,0.84062,0.87555,0.19453,0.5873,0.5677
30,110.63,60776,66098,0.84503,0.88243,0.19445,0.59039,0.58969
31,110.67,60789,66119,0.84937,0.89123,0.19435,0.59343,0.61246
32,114.14,60801,66140,0.85368,0.8897,0.19436,0.59645,0.63558
33,116.71,60813,66159,0.858,0.89781,0.19427,0.59947,0.65872
34,116.35,60822,66177,0.86234,0.90818,0.19415,0.60251,0.68167
35,114.45,60829,66192,0.86673,0.92839,0.19393,0.60558,0.70427
36,117.47,60835,66207,0.87116,0.93402,0.19387,0.60869,0.72684
37,119.27,60843,66223,0.87561,0.94426,0.19375,0.61181,0.74975
38,121.04,60852,66241,0.88002,0.94633,0.19372,0.6149,0.77397
39,119.49,60863,66260,0.88436,0.94153,0.19376,0.61794,0.79883
40,118.39,60874,66280,0.88868,0.94461,0.19372,0.62096,0.82367
41,117.01,60886,66301,0.89331,0.99862,0.19316,0.6242,0.84346
42,123.59,60897,66321,0.89813,1.021,0.19292,0.62758,0.86269
43,130.62,60907,66340,0.90295,1.0339,0.19277,0.63096,0.88244
44,136.57,60917,66358,0.90773,1.0346,0.19276,0.63431,0.90323
45,143.28,60926,66376,0.91245,1.024,0.19286,0.63761,0.92505
46,144.35,60937,66396,0.91708,1.0184,0.19291,0.64086,0.94832
47,144.54,60949,66416,0.92166,1.0205,0.19287,0.64406,0.97227
48,142.69,60961,66438,0.92619,1.0102,0.19297,0.64724,0.99712
49,142.11,60974,66459,0.93065,0.99747,0.1931,0.65036,1.0234
50,138.7,60987,66480,0.93506,0.99217,0.19314,0.65345,1.0498
51,137.84,60998,66501,0.93946,0.99606,0.19309,0.65654,1.0764
52,138.53,61009,66520,0.94387,0.99871,0.19306,0.65963,1.103
53,141.95,61018,66538,0.9483,1.0042,0.19299,0.66273,1.1296
54,146.11,61028,66557,0.95272,1.0075,0.19295,0.66583,1.1566
55,148.4,61038,66575,0.95712,0.9883,0.19314,0.66891,1.1845
56,147.13,61049,66595,0.96146,0.97004,0.19332,0.67195,1.2134
57,151.12,61061,66616,0.96577,0.96692,0.19334,0.67497,1.2425
58,149.87,61073,66637,0.97007,0.97568,0.19324,0.67799,1.2717
59,151.45,61085,66657,0.97437,0.98141,0.19318,0.681,1.3012
60,147.14,61096,66677,0.97862,0.98151,0.19317,0.68398,1.3316
61,143.75,61107,66697,0.98302,1.0212,0.19275,0.68706,1.3596
62,142.5,61118,66716,0.98749,1.0119,0.19284,0.6902,1.3884
63,146.31,61129,66736,0.99197,1.0167,0.19278,0.69333,1.4172
64,152.1,61140,66756,0.99644,1.0161,0.19278,0.69646,1.4467
65,154.87,61151,66776,1.0009,1.0129,0.1928,0.69956,1.4771
66,153.11,61164,66797,1.0052,1.011,0.19281,0.70262,1.5078
67,153.35,61176,66819,1.0095,1.0144,0.19277,0.70564,1.5395
68,154.03,61188,66840,1.0138,1.0114,0.19279,0.70863,1.5719
69,152.07,61200,66860,1.0181,1.0247,0.19264,0.71163,1.6041
70,148.62,61211,66880,1.0224,1.0233,0.19265,0.71464,1.6367
71,144.25,61222,66900,1.0267,1.0206,0.19267,0.71766,1.6694
72,145.34,61233,66920,1.031,1.018,0.19269,0.72067,1.7024
73,148.31,61244,66940,1.0352,1.0109,0.19275,0.72364,1.7364
74,148.41,61256,66961,1.0394,1.013,0.19272,0.72658,1.7704
75,148.37,61268,66982,1.0436,1.0252,0.19259,0.72956,1.8042
76,150.95,61280,67002,1.0479,1.0196,0.19264,0.73252,1.8383
77,149.83,61291,67023,1.052,1.014,0.19269,0.73544,1.8732
78,149.15,61303,67043,1.0562,1.0192,0.19263,0.73837,1.9078
79,151.14,61314,67063,1.0604,1.0131,0.19268,0.74127,1.9427
80,150.74,61325,67083,1.0645,1.0141,0.19266,0.74418,1.9777
81,147.66,61338,67105,0.98689,1.0087,0.19374,0.75248,2.0113
82,143.17,61352,67129,0.98689,1.0089,0.19374,0.75248,2.0445
83,141.08,61366,67152,0.99066,1.0086,0.19373,0.75536,2.0785
84,138.4,61381,67175,0.99464,1.0125,0.19369,0.75841,2.1127
85,132.65,61395,67199,0.99865,1.0244,0.19357,0.76147,2.1468
86,128.58,61410,67223,1.0027,1.0361,0.19345,0.76454,2.1814
87,38.574,61424,67246,1.0067,1.052,0.19329,0.7676,2.216
88,227.5,61438,67269,1.0106,1.0526,0.19328,0.77062,2.2515
89,211.89,61452,67292,1.0145,1.0533,0.19326,0.7736,2.2874
90,189.05,61466,67315,1.0184,1.0596,0.1932,0.77655,2.3235
91,172.05,61480,67338,1.0222,1.0415,0.19336,0.77951,2.3599
92,164.95,61494,67362,1.0261,1.0239,0.19352,0.78244,2.3967
93,159.06,61509,67385,1.0299,1.0222,0.19353,0.78536,2.4336
94,158.35,61523,67409,1.0337,1.0068,0.19366,0.78825,2.471
95,158.12,61538,67433,1.0374,1.0096,0.19363,0.79113,2.5083
96,151.62,61552,67456,1.0412,1.0085,0.19363,0.79398,2.5457
97,143.7,61566,67479,1.0449,1.0214,0.1935,0.79686,2.5829
98,142.3,61580,67501,1.0487,1.0171,0.19354,0.79972,2.6205
99,140.53,61593,67524,1.0524,1.0088,0.19361,0.80256,2.6583
100,137.62,61607,67547,1.0561,1.0224,0.19347,0.80541,2.6962
101,134.81,61623,67573,1.06,1.053,0.19318,0.8084,2.7327
102,140.58,61640,67599,1.064,1.0425,0.19327,0.81145,2.7694
103,148.37,61658,67625,1.068,1.0446,0.19324,0.8145,2.8059
104,155.61,61675,67652,1.072,1.0534,0.19315,0.81756,2.8426
105,161.39,61692,67679,1.076,1.0599,0.19308,0.82062,2.8793
106,162.33,61709,67705,1.08,1.072,0.19296,0.82368,2.9161
107,159.35,61725,67730,1.0839,1.0588,0.19308,0.82669,2.9538
108,156.13,61740,67755,1.0878,1.052,0.19313,0.82965,2.9917
109,146.64,61756,67779,1.0916,1.0515,0.19313,0.83258,3.0301
110,138.42,61771,67804,1.0955,1.0728,0.19292,0.83553,3.0683
111,131.39,61788,67831,1.0994,1.0769,0.19287,0.83851,3.1064
112,39.417,61806,67858,1.1033,1.0678,0.19295,0.84149,3.1443
113,223,61824,67885,1.1072,1.0858,0.19277,0.84447,3.1825
114,212.61,61843,67913,1.1111,1.0941,0.19269,0.84745,3.2209
115,194.1,61861,67941,1.1149,1.0856,0.19276,0.85041,3.26
116,172.56,61879,67968,1.1188,1.0877,0.19273,0.85336,3.299
117,156.49,61896,67995,1.1227,1.117,0.19245,0.85634,3.3383
118,148.01,61913,68020,1.1266,1.125,0.19237,0.85932,3.3777
119,143.22,61928,68045,1.1304,1.1383,0.19223,0.86229,3.4176
120,139.2,61944,68070,1.1343,1.1516,0.1921,0.86525,3.4578
121,135.9,61961,68097,1.1383,1.1754,0.19186,0.86832,3.4969
122,133.95,61980,68125,1.1425,1.1974,0.19165,0.87148,3.5358
123,130.74,61999,68154,1.1466,1.1952,0.19166,0.87461,3.5755
124,125.92,62019,68184,1.1506,1.2018,0.19159,0.87773,3.6156
125,124.53,62040,68214,1.1547,1.1903,0.19169,0.88084,3.6558
126,120.31,62060,68244,1.1587,1.1814,0.19177,0.88394,3.6963
127,117.74,62079,68273,1.1627,1.1811,0.19176,0.88698,3.7379
128,118.8,62098,68301,1.1666,1.1736,0.19183,0.88997,3.7801
129,121.6,62115,68328,1.1705,1.1775,0.19178,0.89295,3.8224
130,125.12,62132,68355,1.1744,1.1891,0.19167,0.89593,3.8647
131,127.36,62249,68481,1.1783,0.8933,0.19445,0.89889,3.9012
132,38.207,62367,68609,1.1821,0.86104,0.19475,0.90182,3.9376
133,226.33,62486,68737,1.1859,0.86847,0.19467,0.90475,3.9737
134,176.55,62606,68866,1.1897,0.86585,0.19469,0.90766,4.0097
135,128.18,62726,68996,1.1935,0.88119,0.19454,0.91058,4.0456
136,90.119,62847,69126,1.1974,0.87961,0.19454,0.91351,4.0816
137,27.036,62967,69256,1.2012,0.88166,0.19452,0.91643,4.1175
138,133.86,63088,69386,1.205,0.89345,0.1944,0.91936,4.1534
139,110.18,63207,69515,1.2089,0.89388,0.19439,0.92232,4.1889
140,84.775,63327,69645,1.2127,0.8809,0.1945,0.92527,4.2246
141,63.756,63447,69775,1.2167,0.91876,0.19414,0.92834,4.2597
142,19.127,63567,69905,1.2208,0.93633,0.19396,0.93144,4.2948
143,93.217,63688,70035,1.2248,0.94315,0.19389,0.9345,4.33
144,79.601,63809,70166,1.2288,0.9509,0.19381,0.93759,4.365
145,64.732,63930,70297,1.2328,0.95586,0.19376,0.94067,4.3998
146,51.862,64052,70429,1.2368,0.94817,0.19382,0.9437,4.4352
147,39.6,64174,70560,1.2407,0.94438,0.19385,0.94668,4.4704
148,11.88,64295,70691,1.2445,0.94942,0.19379,0.94963,4.5057
149,64.193,64415,70821,1.2483,0.95598,0.19372,0.95254,4.541
150,52.17,64535,70950,1.2521,0.96259,0.19365,0.95543,4.5765
151,38.533,64654,71079,1.2559,0.97326,0.19355,0.95833,4.612
152,30.079,64772,71207,1.2597,0.96794,0.19359,0.96122,4.6477
153,23.388,64891,71335,1.2634,0.95207,0.19373,0.96406,4.6833
154,18.275,65009,71463,1.267,0.94205,0.19382,0.96681,4.7184
155,5.4824,65129,71592,1.2706,0.95353,0.1937,0.96957,4.7535
156,36.266,65249,71721,1.2742,0.93842,0.19384,0.97231,4.7886
157,29.296,65369,71851,1.2777,0.92776,0.19393,0.97503,4.8234
158,21.057,65490,71981,1.2813,0.91745,0.19402,0.97775,4.8581
159,14.359,65611,72111,1.2848,0.92326,0.19396,0.98048,4.8927
160,9.6453,65731,72241,1.2884,0.92947,0.19389,0.98321,4.9274
161,6.4421,65852,72372,1.2921,0.9608,0.19359,0.98603,4.9625
162,6.4051,65973,72503,1.2958,0.98585,0.19335,0.98892,4.9979
163,7.5055,66095,72634,1.2996,0.97683,0.19343,0.99178,5.0333
164,7.1734,66217,72765,1.3033,0.97589,0.19343,0.99462,5.0688
165,6.7787,66339,72898,1.307,0.97346,0.19344,0.99746,5.1046
166,6.6248,66463,73030,1.3107,0.94803,0.19368,1.0003,5.1401
167,5.4932,66587,73164,1.3144,0.97244,0.19344,1.0031,5.1754
168,5.2329,66710,73298,1.3181,0.98266,0.19334,1.0059,5.2105
169,4.8755,66834,73431,1.3218,0.97591,0.19339,1.0088,5.2459
170,4.9041,66957,73563,1.3254,0.96643,0.19347,1.0116,5.2815
171,3.5133,67079,73694,1.329,0.94639,0.19366,1.0143,5.3168
172,1.6044,67200,73825,1.3324,0.9516,0.1936,1.017,5.3521
173,0.0001,67321,73956,1.3359,0.93578,0.19374,1.0196,5.3873
174,0.0001,67441,74086,1.3393,0.93439,0.19375,1.0222,5.4224
175,0.0001,67562,74215,1.3426,0.93835,0.1937,1.0248,5.4574
176,0.0001,67682,74345,1.346,0.94013,0.19368,1.0274,5.4925
177,0.0001,67802,74475,1.3494,0.93172,0.19375,1.0299,5.5274
178,0.0001,67923,74604,1.3527,0.9316,0.19375,1.0325,5.562
179,6.3868,68044,74735,1.356,0.94646,0.1936,1.035,5.5969
180,2.1596,68165,74866,1.3594,0.95394,0.19352,1.0377,5.6316
181,0.0001,68288,74998,1.3629,0.97754,0.1933,1.0403,5.6664
182,0.0001,68412,75132,1.3665,0.98602,0.19321,1.0431,5.7011
183,0.0001,68537,75266,1.3702,0.97265,0.19333,1.0459,5.7358
184,0.0001,68662,75401,1.3738,0.96965,0.19335,1.0487,5.7705
185,0.0001,68787,75536,1.3775,0.9791,0.19325,1.0515,5.8052
186,0.0001,68912,75670,1.3812,0.97507,0.19328,1.0543,5.8396
187,0.0001,69036,75804,1.3848,0.99198,0.19312,1.0571,5.8742
188,0.1006,69160,75937,1.3885,1.0006,0.19303,1.0599,5.9086
189,0.53843,69283,76071,1.3923,1.0128,0.19291,1.0628,5.9428
190,1.6834,69406,76204,1.3961,1.0294,0.19274,1.0657,5.9772
191,4.0521,69530,76338,1.3999,1.0324,0.19271,1.0686,6.0116
192,4.9727,69654,76472,1.4037,1.0569,0.19247,1.0716,6.0461
193,6.794,69779,76607,1.4076,1.0652,0.19238,1.0745,6.0806
194,7.086,69904,76742,1.4114,1.0662,0.19237,1.0775,6.1147
195,7.1416,70030,76878,1.4153,1.0726,0.1923,1.0804,6.1489
196,7.5224,70156,77014,1.4191,1.0919,0.19211,1.0834,6.183
197,8.0287,70282,77150,1.423,1.0992,0.19203,1.0864,6.217
198,7.0198,70408,77286,1.4268,1.0862,0.19215,1.0892,6.2507
199,5.2048,70533,77421,1.4305,1.0777,0.19222,1.0921,6.2846
200,3.7322,70658,77555,1.4342,1.075,0.19224,1.0949,6.3182
201,2.4322,70783,77690,1.438,1.101,0.19199,1.0978,6.3521
202,4.0314,70907,77824,1.4418,1.1061,0.19193,1.1008,6.386
203,5.1509,71031,77958,1.4456,1.1108,0.19188,1.1037,6.42
204,5.1564,71155,78092,1.4493,1.1058,0.19192,1.1066,6.4537
205,3.8318,71279,78227,1.4531,1.1202,0.19178,1.1094,6.4874
206,3.3238,71404,78361,1.4569,1.15,0.19149,1.1123,6.5209
207,3.9539,71530,78497,1.4606,1.149,0.19149,1.1152,6.5544
208,3.5671,71656,78633,1.4644,1.1496,0.19148,1.1181,6.5874
209,3.144,71783,78770,1.4682,1.1426,0.19153,1.121,6.6202
210,1.6598,71910,78907,1.4719,1.155,0.19141,1.1239,6.6532
211,1.236,72037,79045,1.4758,1.1704,0.19126,1.1268,6.686
212,1.3963,72164,79181,1.4796,1.1634,0.19132,1.1297,6.7189
213,1.262,72290,79317,1.4833,1.1622,0.19132,1.1326,6.7516
214,0.2712,72415,79452,1.487,1.1688,0.19125,1.1354,6.7843
215,0.0001,72539,79586,1.4907,1.1812,0.19113,1.1383,6.8174
216,0.0001,72663,79720,1.4944,1.1856,0.19108,1.1411,6.8506
217,0.0001,72786,79853,1.4981,1.1875,0.19105,1.1439,6.8835
218,0.0001,72911,79988,1.5018,1.1862,0.19106,1.1468,6.9165
219,0.0001,73036,80124,1.5054,1.1841,0.19107,1.1496,6.9496
220,0.0001,73163,80261,1.5091,1.1884,0.19102,1.1524,6.9826
221,0.0001,73292,80399,1.5129,1.2095,0.19082,1.1553,7.0152
222,0.0001,73420,80538,1.5167,1.2014,0.19088,1.1582,7.0476
223,0.0001,73549,80677,1.5205,1.1984,0.19091,1.1612,7.0802
224,0.0001,73677,80815,1.5244,1.1983,0.1909,1.1641,7.1128
225,0.0001,73805,80953,1.5281,1.1935,0.19094,1.167,7.1454
226,0.0001,73931,81089,1.5319,1.2026,0.19084,1.1699,7.1784
227,0.0001,74056,81225,1.5357,1.2314,0.19056,1.1728,7.2114
228,0.0001,74180,81359,1.5395,1.2524,0.19036,1.1757,7.2447
229,0.8342,74304,81493,1.5434,1.25,0.19037,1.1787,7.2778
230,1.5594,74427,81627,1.5473,1.2666,0.19021,1.1817,7.3112
231,3.1847,74551,81761,1.5512,1.2802,0.19007,1.1847,7.3446
232,5.0121,74676,81897,1.5552,1.2841,0.19003,1.1877,7.378
233,6.711,74802,82033,1.5592,1.2879,0.18998,1.1908,7.4114
234,8.1859,74930,82171,1.5632,1.2886,0.18997,1.1939,7.4447
235,9.3651,75058,82310,1.5672,1.2973,0.18988,1.197,7.4777
236,10.333,75186,82449,1.5712,1.2821,0.19002,1.2001,7.5105
237,10.59,75315,82588,1.5753,1.2837,0.18999,1.2031,7.5434
238,10.572,75444,82728,1.5793,1.2781,0.19004,1.2062,7.5762
239,11.219,75572,82867,1.5833,1.2597,0.19021,1.2093,7.6086
240,9.7984,75700,83005,1.5872,1.2414,0.19037,1.2123,7.6412
241,7.8448,75829,83144,1.5912,1.2802,0.19,1.2154,7.6738
242,8.6629,75957,83283,1.5952,1.2974,0.18983,1.2185,7.7066
243,9.7448,76085,83421,1.5993,1.2948,0.18984,1.2216,7.7394
244,10.381,76212,83560,1.6034,1.2932,0.18985,1.2247,7.772
245,10.371,76340,83698,1.6074,1.2692,0.19007,1.2278,7.8044
246,8.4306,76468,83836,1.6113,1.2645,0.19011,1.2308,7.8365
247,5.9922,76596,83974,1.6151,1.271,0.19004,1.2337,7.8684
248,3.6756,76724,84114,1.619,1.2794,0.18995,1.2367,7.9003
249,1.6792,76853,84253,1.6229,1.2787,0.18995,1.2397,7.9319
250,0.0001,76982,84393,1.6268,1.2949,0.18979,1.2427,7.9636
251,0.0001,77111,84532,1.6307,1.3023,0.18971,1.2457,7.9951
252,0.0001,77240,84671,1.6347,1.2917,0.1898,1.2487,8.0263
253,0.0001,77368,84810,1.6385,1.2847,0.18986,1.2517,8.0577
254,0.0001,77497,84949,1.6423,1.2717,0.18998,1.2546,8.0887
255,0.0001,77625,85087,1.646,1.2592,0.19009,1.2574,8.1195
256,0.0001,77673,85146,1.6496,1.5081,0.18772,1.2602,8.1584
257,20.227,77721,85203,1.6531,1.5499,0.18732,1.2629,8.1974
258,37.28,77768,85261,1.6566,1.5588,0.18723,1.2656,8.2364
259,51.345,77815,85318,1.6601,1.569,0.18712,1.2683,8.2753
260,63.388,77862,85375,1.6636,1.5636,0.18717,1.271,8.3145
261,74.04,77914,85438,1.6677,1.6752,0.1861,1.2741,8.3552
262,91.881,77967,85502,1.6721,1.7048,0.18581,1.2775,8.3958
263,105.35,78021,85568,1.6766,1.735,0.18551,1.281,8.4361
264,117.78,78077,85636,1.6813,1.7427,0.18543,1.2845,8.4766
265,127.54,78135,85705,1.686,1.7314,0.18552,1.2881,8.5168
266,135.49,78194,85775,1.6906,1.7304,0.18553,1.2917,8.5576
267,139.18,78252,85845,1.6952,1.7429,0.1854,1.2952,8.5982
268,142,78310,85915,1.7,1.769,0.18514,1.2989,8.6386
269,147.16,78367,85984,1.7048,1.7829,0.185,1.3026,8.6789
270,149.59,78423,86052,1.7097,1.7761,0.18505,1.3063,8.7195
271,153.88,78477,86117,1.7144,1.7749,0.18506,1.31,8.7605
272,156.39,78529,86181,1.7191,1.771,0.18508,1.3136,8.8019
273,153.15,78580,86244,1.7237,1.7772,0.18502,1.3171,8.8436
274,154.18,78630,86306,1.7284,1.7927,0.18486,1.3207,8.8851
275,158.6,78680,86367,1.733,1.7814,0.18496,1.3242,8.927
276,157.12,78730,86429,1.7376,1.7977,0.18479,1.3278,8.969
277,154.4,78780,86491,1.7422,1.7953,0.18481,1.3313,9.0112
278,148.75,78832,86554,1.7468,1.778,0.18496,1.3348,9.0537
279,144.5,78885,86619,1.7513,1.7621,0.18511,1.3383,9.0962
280,141.81,78939,86684,1.7558,1.7596,0.18512,1.3418,9.1387
281,137.62,78988,86743,1.7593,1.5313,0.18729,1.3445,9.1747
282,41.287,79037,86801,1.7623,1.4982,0.1876,1.3468,9.2107
283,181.4,79084,86857,1.7653,1.5136,0.18745,1.3491,9.2477
284,163.16,79129,86911,1.7683,1.5374,0.18722,1.3514,9.2853
285,141.33,79172,86963,1.7714,1.559,0.18701,1.3538,9.3233
286,123.24,79213,87014,1.7745,1.5851,0.18675,1.3561,9.3621
287,108.02,79254,87064,1.7776,1.5793,0.1868,1.3585,9.4005
288,95.006,79296,87115,1.7807,1.5714,0.18687,1.3609,9.4386
289,83.194,79340,87168,1.7838,1.5605,0.18697,1.3633,9.4762
290,24.958,79385,87223,1.7869,1.5626,0.18694,1.3657,9.5139
291,110.89,79432,87280,1.79,1.5502,0.18705,1.368,9.5514
292,103.1,79479,87336,1.793,1.5247,0.18729,1.3703,9.5885
293,89.609,79526,87392,1.7959,1.5289,0.18725,1.3726,9.6259
294,78.322,79571,87447,1.7988,1.544,0.1871,1.3748,9.6636
295,69.596,79615,87499,1.8017,1.5763,0.18678,1.377,9.7019
296,65.343,79657,87550,1.8046,1.5772,0.18677,1.3793,9.7403
297,62.469,79697,87600,1.8075,1.5747,0.18679,1.3815,9.7783
298,60.615,79737,87649,1.8104,1.5654,0.18687,1.3837,9.8159
299,58.677,79778,87699,1.8131,1.5456,0.18705,1.3858,9.8527
300,55.479,79821,87750,1.8159,1.548,0.18703,1.3879,9.8896
301,54.264,79865,87803,1.8186,1.5344,0.18715,1.39,9.9259
302,50.76,79910,87858,1.8213,1.5399,0.18709,1.3921,9.9618
303,47.232,79956,87912,1.824,1.5231,0.18725,1.3942,9.9969
304,42.791,80001,87966,1.8267,1.5457,0.18703,1.3962,10.033
305,40.185,80045,88019,1.8294,1.5546,0.18694,1.3983,10.069
306,38.448,80087,88070,1.8321,1.5712,0.18677,1.4004,10.105
307,38.356,80127,88120,1.8349,1.5842,0.18665,1.4025,10.141
308,38.639,80167,88169,1.8377,1.5931,0.18656,1.4047,10.178
309,39.608,80207,88218,1.8405,1.5818,0.18666,1.4068,10.214
310,39.266,80249,88269,1.8432,1.5749,0.18672,1.4089,10.251
311,39.219,80292,88321,1.8459,1.5507,0.18694,1.411,10.287
312,38.786,80337,88376,1.8487,1.543,0.18701,1.4131,10.322
313,37.618,80384,88431,1.8514,1.5487,0.18695,1.4152,10.358
314,35.977,80431,88487,1.8541,1.5481,0.18695,1.4173,10.393
315,34.689,80478,88543,1.8568,1.5419,0.18701,1.4194,10.428
316,32.992,80524,88598,1.8595,1.5348,0.18707,1.4215,10.463
317,30.84,80568,88652,1.8622,1.5541,0.18688,1.4236,10.499
318,30.621,80611,88704,1.865,1.5851,0.18658,1.4257,10.536
319,33.027,80654,88756,1.8679,1.5949,0.18648,1.4279,10.573
320,35.885,80696,88808,1.8707,1.5998,0.18643,1.4301,10.611
321,38.666,80739,88861,1.8736,1.5928,0.18649,1.4323,10.647
322,40.023,80784,88914,1.8765,1.6152,0.18627,1.4345,10.685
323,42.976,80829,88970,1.8795,1.6219,0.1862,1.4368,10.722
324,44.57,80876,89026,1.8824,1.6147,0.18627,1.4391,10.759
325,45.639,80923,89083,1.8854,1.606,0.18634,1.4414,10.796
326,46.169,80970,89139,1.8884,1.6135,0.18627,1.4437,10.833
327,46.58,81017,89195,1.8913,1.6045,0.18635,1.446,10.869
328,46.227,81062,89250,1.8943,1.624,0.18615,1.4482,10.907
329,48.478,81106,89304,1.8973,1.6416,0.18598,1.4505,10.945
330,51.27,81149,89357,1.9004,1.6634,0.18577,1.4529,10.984
331,54.596,81191,89409,1.5517,1.5919,0.19014,1.4814,11.023
332,56.276,81234,89461,1.5335,1.529,0.19065,1.4638,11.061
333,57.589,81277,89514,1.5347,1.526,0.19067,1.465,11.1
334,59.476,81320,89567,1.5371,1.5251,0.19067,1.4673,11.138
335,61.033,81364,89621,1.5396,1.5204,0.1907,1.4698,11.177
336,61.69,81409,89675,1.5422,1.5397,0.19055,1.4722,11.216
337,62.339,81453,89730,1.5447,1.5477,0.19048,1.4746,11.255
338,60.913,81497,89784,1.5472,1.5206,0.19068,1.477,11.293
339,59.159,81541,89837,1.5496,1.5194,0.19069,1.4794,11.331
340,57.314,81584,89890,1.5521,1.5239,0.19065,1.4817,11.37
341,57.214,81626,89943,1.5546,1.5282,0.19061,1.4841,11.408
342,58.674,81668,89994,1.5571,1.5312,0.19058,1.4866,11.447
343,59.802,81710,90046,1.5597,1.5233,0.19064,1.489,11.485
344,61.724,81752,90098,1.5622,1.5345,0.19055,1.4914,11.523
345,62.763,81795,90151,1.5647,1.5324,0.19056,1.4938,11.561
346,62.706,81838,90204,1.5671,1.5303,0.19057,1.4961,11.598
