date,vsf,eb,edo,eco2,tg,p
1,2.22E-16,93.0384,3.6082,1.1098,21.2669,0.0010738
2,2.22E-16,92.2418,3.9623,1.1384,23.3659,0.0012454
3,2.22E-16,91.7117,4.3451,1.197,25.635,0.0014574
4,2.22E-16,91.0322,4.7544,1.1991,28.0601,0.0017252
5,2.22E-16,90.5795,5.1898,1.2094,30.6399,0.0020739
6,2.22E-16,89.9545,5.6492,1.3666,33.3606,0.0025483
7,2.22E-16,89.796,6.1178,1.4897,36.1353,0.0032367
8,2.22E-16,90.0676,6.5701,1.5105,38.8127,0.0043364
9,2.22E-16,91.5656,6.9635,1.5964,41.1407,0.0064023
10,2.22E-16,95.0173,7.222,1.5996,42.6705,0.011497
11,0.04255,97.7587,7.2992,1.6502,43.1274,0.028962
12,0.04255,96.5517,7.327,1.6951,43.2914,0.052482
13,0.0426,96.5213,7.3765,1.5571,43.5848,0.070403
14,0.04275,96.4909,7.4315,1.5615,43.9102,0.086779
15,0.0429,96.371,7.4879,1.5752,44.2438,0.10237
16,0.043,96.743,7.5445,1.7127,44.5792,0.11738
17,0.0431,96.5024,7.6011,1.7038,44.9147,0.13187
18,0.04325,96.281,7.6577,1.6213,45.2497,0.1459
19,0.04345,96.1559,7.714,1.6958,45.5836,0.15946
20,0.0436,96.3625,7.7705,1.6046,45.918,0.17257
21,0.04375,96.3372,7.827,1.6812,46.2529,0.18525
22,0.0439,96.0738,7.8833,1.8267,46.5869,0.19752
23,0.0441,96.4068,7.9395,1.6951,46.9203,0.20938
24,0.0444,96.2754,7.996,1.7543,47.255,0.22083
25,0.04475,96.4675,8.0527,1.7452,47.5916,0.23192
26,0.0451,96.175,8.1098,1.7176,47.93,0.24263
27,0.0455,96.2717,8.1673,1.6748,48.2715,0.25294
28,0.04595,96.0376,8.2255,1.6342,48.6171,0.2629
29,0.0463,96.1248,8.2843,1.7341,48.9658,0.27249
30,0.04665,96.3024,8.3434,1.7175,49.3172,0.28171
31,0.04695,96.2992,8.4034,1.7026,49.6731,0.29057
32,0.04715,96.0419,8.4639,1.8241,50.0328,0.29917
33,0.04725,96.4504,8.5244,1.745,50.3924,0.30755
